"Control ID","Requirement","Result","Criticality","Details","OmittedEvaluationResult","OmittedEvaluationDetails","IncorrectResult","IncorrectResultDetails","OriginalResult","OriginalDetails","Comments","ResolutionDate","Non-Compliance Reason","Remediation Completion Date","Justification"
"MS.AAD.5.3v1","An admin consent workflow SHALL be configured for applications.","Fail","Shall","Requirement not met","N/A","N/A","N/A","N/A","Fail","Requirement not met","System.Object[]",," "," "," "
"MS.AAD.6.1v1","User passwords SHALL NOT expire.","Fail","Shall","2 domain(s) failed: tilabras.com.br, tilabras.onmicrosoft.com","N/A","N/A","N/A","N/A","Fail","2 domain(s) failed:<br/>tilabras.com.br, tilabras.onmicrosoft.com","System.Object[]",," "," "," "
"MS.AAD.7.1v1","A minimum of two users and a maximum of eight users SHALL be provisioned with the Global Administrator role.","Pass","Shall","6 global admin(s) found: FSG, Kemek Inform├ítica, Thiago Cotrin, Thiago Fleury, William Debost, admin","N/A","N/A","N/A","N/A","Pass","6 global admin(s) found:<br/>FSG, Kemek Inform├ítica, Thiago Cotrin, Thiago Fleury, William Debost, admin","System.Object[]",,,,
"MS.AAD.7.2v1","Privileged users SHALL be provisioned with finer-grained roles instead of Global Administrator.","Fail","Shall","Requirement not met: Least Privilege Score = 6 (should be 1 or less)","N/A","N/A","N/A","N/A","Fail","Requirement not met: Least Privilege Score = 6 (should be 1 or less)","System.Object[]",," "," "," "
"MS.AAD.7.3v1","Privileged users SHALL be provisioned cloud-only accounts separate from an on-premises directory or other federated identity providers.","Pass","Shall","0 admin(s) that are not cloud-only found","N/A","N/A","N/A","N/A","Pass","0 admin(s) that are not cloud-only found","System.Object[]",,,,
"MS.AAD.7.4v1","Permanent active role assignments SHALL NOT be allowed for highly privileged roles.","Fail","Shall","**NOTE: Your tenant does not have a Microsoft Entra ID P2 license, which is required for this feature**","N/A","N/A","N/A","N/A","Fail","**NOTE: Your tenant does not have a Microsoft Entra ID P2 license, which is required for this feature**","System.Object[]",," "," "," "
"MS.AAD.7.5v1","Provisioning users to highly privileged roles SHALL NOT occur outside of a PAM system.","Fail","Shall","**NOTE: Your tenant does not have a Microsoft Entra ID P2 license, which is required for this feature**","N/A","N/A","N/A","N/A","Fail","**NOTE: Your tenant does not have a Microsoft Entra ID P2 license, which is required for this feature**","System.Object[]",," "," "," "
"MS.AAD.7.6v1","Activation of the Global Administrator role SHALL require approval.","Fail","Shall","**NOTE: Your tenant does not have a Microsoft Entra ID P2 license, which is required for this feature**","N/A","N/A","N/A","N/A","Fail","**NOTE: Your tenant does not have a Microsoft Entra ID P2 license, which is required for this feature**","System.Object[]",," "," "," "
"MS.AAD.7.7v1","Eligible and active highly privileged role assignments SHALL trigger an alert.","Fail","Shall","**NOTE: Your tenant does not have a Microsoft Entra ID P2 license, which is required for this feature**","N/A","N/A","N/A","N/A","Fail","**NOTE: Your tenant does not have a Microsoft Entra ID P2 license, which is required for this feature**","System.Object[]",," "," "," "
"MS.AAD.7.8v1","User activation of the Global Administrator role SHALL trigger an alert.","Fail","Shall","**NOTE: Your tenant does not have a Microsoft Entra ID P2 license, which is required for this feature**","N/A","N/A","N/A","N/A","Fail","**NOTE: Your tenant does not have a Microsoft Entra ID P2 license, which is required for this feature**","System.Object[]",," "," "," "
"MS.AAD.7.9v1","User activation of other highly privileged roles SHOULD trigger an alert.","Warning","Should","**NOTE: Your tenant does not have a Microsoft Entra ID P2 license, which is required for this feature**","N/A","N/A","N/A","N/A","Warning","**NOTE: Your tenant does not have a Microsoft Entra ID P2 license, which is required for this feature**","System.Object[]",,,,
"MS.AAD.8.1v1","Guest users SHOULD have limited or restricted access to Microsoft Entra ID directory objects.","Pass","Should","Permission level set to ""Limited access"" (authorizationPolicy)","N/A","N/A","N/A","N/A","Pass","Permission level set to ""Limited access"" (authorizationPolicy)","System.Object[]",,,,
"MS.AAD.8.2v1","Only users with the Guest Inviter role SHOULD be able to invite guest users.","Warning","Should","Permission level set to ""everyone"" (authorizationPolicy)","N/A","N/A","N/A","N/A","Warning","Permission level set to ""everyone"" (authorizationPolicy)","System.Object[]",,,,
"MS.AAD.8.3v1","Guest invites SHOULD only be allowed to specific external domains that have been authorized by the agency for legitimate business purposes.","N/A","Should/Not-Implemented","This product does not currently have the capability to check compliance for this policy. See Secure Configuration Baseline policy, https://github.com/cisagov/ScubaGear/blob/v1.7.1/PowerShell/ScubaGear/baselines/aad.md#msaad83v1 for instructions on manual check","N/A","N/A","N/A","N/A","N/A","This product does not currently have the capability to check compliance for this policy. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.7.1/PowerShell/ScubaGear/baselines/aad.md#msaad83v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check","System.Object[]",,,,
